"User: %s","Utilisateur : %s"
"Min allowed amount: %s %s","Montant minimum autorisé : %s %s"
"Max allowed amount: %s %s","Montant maximum autorisé : %s %s"
"Currency: %s","Devise supportée : %s"
"Not configured yet","En attente de configuration"
"Unable to retrieve account details.","Impossible de récupérer les informations du compte."
"CURL error %s","Erreur CURL %s"
"Both username and password must be defined.","Nom d'utilisateur et mot de passe obligatoires."
"Invalid signature","Signature invalide"
"Error while checking signature","Erreur lors de la vérification de la signature"
"Payment has been captured by Payment Gateway. Transaction id: %s","Le paiement a été capturé par le serveur de paiement. Transaction : %s"
"Cannot create an invoice.","Impossible de créer la facture."
"Cannot create an invoice without products.","Impossible de créer une facture sans produits."
"Payment canceled/refunded by Payment Gateway. Transaction id: %s","Le paiement a été annulée/remboursé par le serveur de paiement. Transaction : %s"
"Error: missing or wrong parameters.","Erreur : paramètres manquants"
"There has been a problem during the payment.","Il y a eu un problème lors du paiement."
"You will be redirected to our secure payment page when you place an order.","Vous serez redirigé ver les serveur de paiement sécurisé lors de la finalisation de votre commande."
"Account details","Détails du compte"
"User","Utilisateur"
"Password","Mot de passe"
"New order status","Statut nouvelle commande"
"Approved order status","Statut commande approuvée"
"Rejected order status","Statut commande rejetée"
"Invoice when complete","Facturer les commandes valides"
